[E 251022 00:07:20 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 00:26:52 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 00:58:44 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:27:48 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:28:18 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:28:48 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:29:18 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:29:48 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:30:18 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:30:49 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 251022 01:31:19 smartConnect:246] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '8e:12:d0:98:4d:ab', 'Accept': 'application/json', 'X-PrivateKey': 'x2ANjXSq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
